Year,Source_Currency,To_AUD,To_CAD,To_CHF,To_EUR,To_GBP,To_JPY,To_USD
2019,AUD,1.0,0.922654720553356,0.6908615336779322,0.6210380545144939,0.54501383144938,75.79911943387735,0.6953557980566871
2019,CAD,1.0843849237556864,1.0,0.7488361568515314,0.6731533416332691,0.5907494383147164,82.15990979757746,0.7537075637850522
2019,CHF,1.4482666593037024,1.3356727426872361,1.0,0.8990401101389587,0.7889843327500489,109.72990815763087,1.0066255179151145
2019,EUR,1.6111432498427536,1.4858866698030022,1.1125959914409107,1.0,0.8777159743172447,122.07047624712267,1.1198337667236917
2019,GBP,1.8368808560067225,1.6940745512375166,1.2684820405305937,1.1402800419988972,1.0,139.17379533064334,1.276733901970175
2019,JPY,0.013201320908629978,0.012174998569394383,0.009116344388433683,0.008194980480583995,0.007191793929387507,1.0,0.0091756489811084
2019,USD,1.438734299427754,1.3268814657645795,0.9935367413469263,0.8931227096259364,0.7837913093879877,109.00767584841223,1.0
2020,AUD,1.0,0.926186641833548,0.648363037905259,0.6058377507259289,0.5384559548710471,73.73771724809959,0.6905547311936302
2020,CAD,1.0845741042434853,1.0,0.7006660884266318,0.654710312287039,0.5818928680889004,79.68609389063363,0.7462613598597004
2020,CHF,1.5494903186402766,1.4299504847779159,1.0,0.9353600518706214,0.8313285021851845,113.84453172051528,1.0661555976246508
2020,EUR,1.6590184076327898,1.5310287180960056,1.0717736425346969,1.0,0.8900922266654085,121.89180626724344,1.1415184338887532
2020,GBP,1.8657147414148947,1.7217788758336194,1.2053054234582805,1.1262510106142571,1.0,137.07824986401297,1.283739686012268
2020,JPY,0.013615260908476114,0.012564872914816259,0.008795850432280218,0.008218942058805342,0.007304824252039524,1.0,0.009368233190014445
2020,USD,1.453343510171006,1.3412211950711364,0.9389017388738435,0.8773203967174807,0.7797440674113131,106.78040988965967,1.0
2021,AUD,1.0,0.9421015379052314,0.6870935662042955,0.6355096335862792,0.546396859452443,82.53432838273582,0.7516405364641776
2021,CAD,1.0627012471485198,1.0,0.7295260986373874,0.6747565199858445,0.5801404478084452,87.6313642715897,0.7980592674933947
2021,CHF,1.4570362906464647,1.3714558862953568,1.0,0.9251374641816815,0.7954123403890778,120.14861023751274,1.0941939872044784
2021,EUR,1.575841824876786,1.4832832651263579,1.0817882651937039,1.0,0.860269604851164,129.94542855832825,1.1834136600677783
2021,GBP,1.8323292800476918,1.7247056870750823,1.257862484568467,1.1634277571336626,1.0,151.09563015589302,1.3760286505405719
2021,JPY,0.012136255579668534,0.01142342113176635,0.008331330379877162,0.007705851105914302,0.006625317101677077,1.0,0.0091139925393061
2021,USD,1.3316069249923412,1.253393733042937,0.9141252139439949,0.8454967537751564,0.7269390525726172,109.80558442335862,1.0
2022,AUD,1.0,0.904346487578989,0.6635266662223749,0.6610119127459109,0.5638255066487879,91.3751944638136,0.6949228928639338
2022,CAD,1.10903812482336,1.0,0.7343587098391887,0.7315755042612522,0.6240143655330738,101.12957524341978,0.7691065107400601
2022,CHF,1.5113508309726311,1.363965980006395,1.0,0.9969605386294256,0.850380711697789,137.81516086689567,1.0481062265542838
